0.000000 0.923631 -0.023206 -0.057834
0.000005 0.923629 -0.023209 -0.057837
0.000010 0.923626 -0.023211 -0.057840
0.000015 0.923624 -0.023214 -0.057843
0.000020 0.923622 -0.023216 -0.057845
0.000025 0.923619 -0.023218 -0.057848
0.000030 0.923617 -0.023221 -0.057851
0.000035 0.923614 -0.023223 -0.057854
0.000040 0.923612 -0.023225 -0.057857
0.000045 0.923610 -0.023228 -0.057859
0.000050 0.923607 -0.023230 -0.057862
0.000055 0.923605 -0.023233 -0.057865
0.000060 0.923602 -0.023235 -0.057868
0.000065 0.923600 -0.023237 -0.057871
0.000070 0.923598 -0.023240 -0.057873
0.000075 0.923595 -0.023242 -0.057876
0.000080 0.923593 -0.023245 -0.057879
0.000085 0.923590 -0.023247 -0.057882
0.000090 0.923588 -0.023249 -0.057885
0.000095 0.923586 -0.023252 -0.057887
0.000100 0.923583 -0.023254 -0.057890
0.000105 0.923581 -0.023256 -0.057893
0.000110 0.923578 -0.023259 -0.057896
0.000115 0.923576 -0.023261 -0.057899
0.000120 0.923573 -0.023264 -0.057902
0.000125 0.923571 -0.023266 -0.057904
0.000130 0.923569 -0.023268 -0.057907
0.000135 0.923566 -0.023271 -0.057910
0.000140 0.923564 -0.023273 -0.057913
0.000145 0.923561 -0.023276 -0.057916
0.000150 0.923559 -0.023278 -0.057918
0.000155 0.923557 -0.023280 -0.057921
0.000160 0.923554 -0.023283 -0.057924
0.000165 0.923552 -0.023285 -0.057927
0.000170 0.923549 -0.023287 -0.057930
0.000175 0.923547 -0.023290 -0.057932
0.000180 0.923545 -0.023292 -0.057935
0.000185 0.923542 -0.023295 -0.057938
0.000190 0.923540 -0.023297 -0.057941
0.000195 0.923537 -0.023299 -0.057944
0.000200 0.923535 -0.023302 -0.057946
0.000205 0.923533 -0.023304 -0.057949
0.000210 0.923530 -0.023307 -0.057952
0.000215 0.923528 -0.023309 -0.057955
0.000220 0.923525 -0.023311 -0.057958
0.000225 0.923523 -0.023314 -0.057960
0.000230 0.923521 -0.023316 -0.057963
0.000235 0.923518 -0.023319 -0.057966
0.000240 0.923516 -0.023321 -0.057969
0.000245 0.923513 -0.023323 -0.057972
0.000250 0.923511 -0.023326 -0.057974
0.000255 0.923509 -0.023328 -0.057977
0.000260 0.923506 -0.023330 -0.057980
0.000265 0.923504 -0.023333 -0.057983
0.000270 0.923501 -0.023335 -0.057986
0.000275 0.923499 -0.023338 -0.057989
0.000280 0.923496 -0.023340 -0.057991
0.000285 0.923494 -0.023342 -0.057994
0.000290 0.923492 -0.023345 -0.057997
0.000295 0.923489 -0.023347 -0.058000
0.000300 0.923487 -0.023350 -0.058003
0.000305 0.923484 -0.023352 -0.058005
0.000310 0.923482 -0.023354 -0.058008
0.000315 0.923480 -0.023357 -0.058011
0.000320 0.923477 -0.023359 -0.058014
0.000325 0.923475 -0.023362 -0.058017
0.000330 0.923472 -0.023364 -0.058019
0.000335 0.923470 -0.023366 -0.058022
0.000340 0.923468 -0.023369 -0.058025
0.000345 0.923465 -0.023371 -0.058028
0.000350 0.923463 -0.023374 -0.058031
0.000355 0.923460 -0.023376 -0.058033
0.000360 0.923458 -0.023378 -0.058036
0.000365 0.923456 -0.023381 -0.058039
0.000370 0.923453 -0.023383 -0.058042
0.000375 0.923451 -0.023385 -0.058045
0.000380 0.923448 -0.023388 -0.058047
0.000385 0.923446 -0.023390 -0.058050
0.000390 0.923443 -0.023393 -0.058053
0.000395 0.923441 -0.023395 -0.058056
0.000400 0.923439 -0.023397 -0.058059
0.000405 0.923436 -0.023400 -0.058061
0.000410 0.923434 -0.023402 -0.058064
0.000415 0.923431 -0.023405 -0.058067
0.000420 0.923429 -0.023407 -0.058070
0.000425 0.923427 -0.023409 -0.058073
0.000430 0.923424 -0.023412 -0.058075
0.000435 0.923422 -0.023414 -0.058078
0.000440 0.923419 -0.023417 -0.058081
0.000445 0.923417 -0.023419 -0.058084
0.000450 0.923415 -0.023421 -0.058087
0.000455 0.923412 -0.023424 -0.058089
0.000460 0.923410 -0.023426 -0.058092
0.000465 0.923407 -0.023429 -0.058095
0.000470 0.923405 -0.023431 -0.058098
0.000475 0.923402 -0.023433 -0.058101
0.000480 0.923400 -0.023436 -0.058103
0.000485 0.923398 -0.023438 -0.058106
0.000490 0.923395 -0.023441 -0.058109
0.000495 0.923393 -0.023443 -0.058112
0.000500 0.923390 -0.023445 -0.058115
0.000505 0.923388 -0.023448 -0.058117
0.000510 0.923386 -0.023450 -0.058120
0.000515 0.923383 -0.023452 -0.058123
0.000520 0.923381 -0.023455 -0.058126
0.000525 0.923378 -0.023457 -0.058129
0.000530 0.923376 -0.023460 -0.058131
0.000535 0.923373 -0.023462 -0.058134
0.000540 0.923371 -0.023464 -0.058137
0.000545 0.923369 -0.023467 -0.058140
0.000550 0.923366 -0.023469 -0.058143
0.000555 0.923364 -0.023472 -0.058145
0.000560 0.923361 -0.023474 -0.058148
0.000565 0.923359 -0.023476 -0.058151
0.000570 0.923357 -0.023479 -0.058154
0.000575 0.923354 -0.023481 -0.058157
0.000580 0.923352 -0.023484 -0.058160
0.000585 0.923349 -0.023486 -0.058162
0.000590 0.923347 -0.023488 -0.058165
0.000595 0.923344 -0.023491 -0.058168
0.000600 0.923342 -0.023493 -0.058171
0.000605 0.923340 -0.023496 -0.058174
0.000610 0.923337 -0.023498 -0.058176
0.000615 0.923335 -0.023500 -0.058179
0.000620 0.923332 -0.023503 -0.058182
0.000625 0.923330 -0.023505 -0.058185
0.000630 0.923328 -0.023508 -0.058188
